port,description,risk_score,risk_reason
1399,Cadkey License Manager,20,Open port default risk
1400,Cadkey Tablet Daemon,20,Open port default risk
1401,Goldleaf License Manager,20,Open port default risk
1402,Prospero Resource Manager,20,Open port default risk
1403,Prospero Resource Manager,20,Open port default risk
1404,Infinite Graphics License Manager,20,Open port default risk
1405,IBM Remote Execution Starter,20,Open port default risk
1406,NetLabs License Manager,20,Open port default risk
1407,TIBET Data Server,20,Open port default risk
1408,Sophia License Manager,20,Open port default risk
1409,Here License Manager,20,Open port default risk
1410,HiQ License Manager,20,Open port default risk
1411,AudioFile,20,Open port default risk
1412,InnoSys,20,Open port default risk
1413,Innosys-ACL,20,Open port default risk
1414,IBM MQSeries,20,Open port default risk
1415,DBStar,20,Open port default risk
1416,Novell LU6.2,20,Open port default risk
1417,Timbuktu Service 1 Port,20,Open port default risk
1418,Timbuktu Service 2 Port,20,Open port default risk
1419,Timbuktu Service 3 Port,20,Open port default risk
1420,Timbuktu Service 4 Port,20,Open port default risk
1421,Gandalf License Manager,20,Open port default risk
1422,Autodesk License Manager,20,Open port default risk
1423,Essbase Arbor Software,20,Open port default risk
1424,Hybrid Encryption Protocol,20,Open port default risk
1425,Zion Software License Manager,20,Open port default risk
1426,Satellite-data Acquisition System 1,20,Open port default risk
1427,mloadd monitoring tool,20,Open port default risk
1428,Informatik License Manager,20,Open port default risk
1429,Hypercom NMS,20,Open port default risk
1430,Hypercom TPDU,20,Open port default risk
1431,Reverse Gossip Transport,20,Open port default risk
1432,Blueberry Software License Manager,20,Open port default risk
1433,Microsoft-SQL-Server,90,High risk database
1434,Microsoft-SQL-Monitor,90,High risk database
1435,IBM CICS,20,Open port default risk
1436,Satellite-data Acquisition System 2,20,Open port default risk
1437,Tabula,20,Open port default risk
1438,Eicon Security Agent/Server,20,Open port default risk
1439,Eicon X25/SNA Gateway,20,Open port default risk
1440,Eicon Service Location Protocol,20,Open port default risk
1441,Cadis License Management,20,Open port default risk
1442,Cadis License Management,20,Open port default risk
1443,Integrated Engineering Software,20,Open port default risk
1444,Marcam License Management,20,Open port default risk
1445,Proxima License Manager,20,Open port default risk
1446,Optical Research Associates License Manager,20,Open port default risk
1447,Applied Parallel Research LM,20,Open port default risk
1448,OpenConnect License Manager,20,Open port default risk
1449,PEport,20,Open port default risk
1450,Tandem Distributed Workbench Facility,20,Open port default risk
1451,IBM Information Management,20,Open port default risk
1452,GTE Government Systems License Man,20,Open port default risk
1453,Genie License Manager,20,Open port default risk
1454,interHDL License Manager,20,Open port default risk
1455,ESL License Manager,20,Open port default risk
1456,DCA,20,Open port default risk
1457,Valisys License Manager,20,Open port default risk
1458,Nichols Research Corp.,20,Open port default risk
1459,Proshare Notebook Application,20,Open port default risk
1460,Proshare Notebook Application,20,Open port default risk
1461,IBM Wireless LAN,20,Open port default risk
1462,World License Manager,20,Open port default risk
1463,Nucleus,20,Open port default risk
1464,MSL License Manager,20,Open port default risk
1465,Pipes Platform,20,Open port default risk
1466,Ocean Software License Manager,20,Open port default risk
1467,CSDMBASE,20,Open port default risk
1468,CSDM,20,Open port default risk
1469,Active Analysis Limited License Manager,20,Open port default risk
1470,Universal Analytics,20,Open port default risk
1471,csdmbase,20,Open port default risk
1472,csdm,20,Open port default risk
1473,OpenMath,20,Open port default risk
1474,Telefinder,20,Open port default risk
1475,Taligent License Manager,20,Open port default risk
1476,clvm-cfg,20,Open port default risk
1477,ms-sna-server,20,Open port default risk
1478,ms-sna-base,20,Open port default risk
1479,dberegister,20,Open port default risk
1480,PacerForum,20,Open port default risk
1481,AIRS,20,Open port default risk
1482,Miteksys License Manager,20,Open port default risk
1483,AFS License Manager,20,Open port default risk
1484,Confluent License Manager,20,Open port default risk
1485,LANSource,20,Open port default risk
1486,nms_topo_serv,20,Open port default risk
1487,LocalInfoSrvr,20,Open port default risk
1488,DocStor,20,Open port default risk
1489,dmdocbroker,20,Open port default risk
1490,insitu-conf,20,Open port default risk
1492,stone-design-1,20,Open port default risk
1493,netmap_lm,20,Open port default risk
1494,ica,20,Open port default risk
1495,cvc,20,Open port default risk
1496,liberty-lm,20,Open port default risk
1497,rfx-lm,20,Open port default risk
1498,Sybase SQL Any,20,Open port default risk
1499,Federico Heinz Consultora,20,Open port default risk
1500,VLSI License Manager,20,Open port default risk
1501,Satellite-data Acquisition System 3,20,Open port default risk
1502,Shiva,20,Open port default risk
1503,Databeam,20,Open port default risk
1504,EVB Software Engineering License Manager,20,Open port default risk
1505,"Funk Software, Inc.",20,Open port default risk
1506,Universal Time daemon (utcd),20,Open port default risk
1507,symplex,20,Open port default risk
1508,diagmond,20,Open port default risk
1509,"Robcad, Ltd. License Manager",20,Open port default risk
1510,Midland Valley Exploration Ltd. Lic. Man.,20,Open port default risk
1511,3l-l1,20,Open port default risk
1512,Microsoft's Windows Internet Name Service,20,Open port default risk
1513,"Fujitsu Systems Business of America, Inc",20,Open port default risk
1514,"Fujitsu Systems Business of America, Inc",20,Open port default risk
1515,ifor-protocol,20,Open port default risk
1516,Virtual Places Audio data,20,Open port default risk
1517,Virtual Places Audio control,20,Open port default risk
1518,Virtual Places Video data,20,Open port default risk
1519,Virtual Places Video control,20,Open port default risk
1520,atm zip office,20,Open port default risk
1521,Oracle database. nCube License Manager,90,High risk database
1522,Ricardo North America License Manager,20,Open port default risk
1523,cichild,20,Open port default risk
1524,ingres,20,Open port default risk
1525,oracle,20,Open port default risk
1526,Prospero Data Access Prot non-priv,20,Open port default risk
1527,oracle,20,Open port default risk
1528,NGR transport protocol for mobile ad-hoc networks,20,Open port default risk
1529,oracle,20,Open port default risk
1530,rap-service,20,Open port default risk
1531,rap-listen,20,Open port default risk
1532,miroconnect,20,Open port default risk
1533,Virtual Places Software,20,Open port default risk
1534,micromuse-lm,20,Open port default risk
1535,ampr-info,20,Open port default risk
1536,ampr-inter,20,Open port default risk
1537,isi-lm,20,Open port default risk
1538,3ds-lm,20,Open port default risk
1539,Intellistor License Manager,20,Open port default risk
1540,rds,20,Open port default risk
1541,rds2,20,Open port default risk
1542,gridgen-elmd,20,Open port default risk
1543,simba-cs,20,Open port default risk
1544,aspeclmd,20,Open port default risk
1545,vistium-share,20,Open port default risk
1546,abbaccuray,20,Open port default risk
1547,laplink,20,Open port default risk
1548,Axon License Manager,20,Open port default risk
1549,Shiva Hose,20,Open port default risk
1550,Image Storage license manager 3M Company,20,Open port default risk
1551,HECMTL-DB,20,Open port default risk
1552,pciarray,20,Open port default risk
1553,sna-cs,20,Open port default risk
1554,CACI Products Company License Manager,20,Open port default risk
1555,livelan,20,Open port default risk
1556,VERITAS Private Branch Exchange,20,Open port default risk
1557,ArborText License Manager,20,Open port default risk
1558,xingmpeg,20,Open port default risk
1559,web2host,20,Open port default risk
1560,ASCI-RemoteSHADOW,20,Open port default risk
1561,facilityview,20,Open port default risk
1562,pconnectmgr,20,Open port default risk
1563,Cadabra License Manager,20,Open port default risk
1564,Pay-Per-View,20,Open port default risk
1565,WinDD,20,Open port default risk
1566,CORELVIDEO,20,Open port default risk
1567,jlicelmd,20,Open port default risk
1568,tsspmap,20,Open port default risk
1569,ets,20,Open port default risk
1570,orbixd,20,Open port default risk
1571,Oracle Remote Data Base,20,Open port default risk
1572,Chipcom License Manager,20,Open port default risk
1573,itscomm-ns,20,Open port default risk
1574,mvel-lm,20,Open port default risk
1575,oraclenames,20,Open port default risk
1576,Moldflow License Manager,20,Open port default risk
1577,hypercube-lm,20,Open port default risk
1578,Jacobus License Manager,20,Open port default risk
1579,ioc-sea-lm,20,Open port default risk
1580,tn-tl-r1,20,Open port default risk
1581,MIL-2045-47001,20,Open port default risk
1582,MSIMS,20,Open port default risk
1583,simbaexpress,20,Open port default risk
1584,tn-tl-fd2,20,Open port default risk
1585,intv,20,Open port default risk
1586,ibm-abtact,20,Open port default risk
1587,pra_elmd,20,Open port default risk
1588,triquest-lm,20,Open port default risk
1589,VQP,20,Open port default risk
1590,gemini-lm,20,Open port default risk
1591,ncpm-pm,20,Open port default risk
1592,commonspace,20,Open port default risk
1593,mainsoft-lm,20,Open port default risk
1594,sixtrak,20,Open port default risk
1595,radio,20,Open port default risk
1596,radio-sm,20,Open port default risk
1597,orbplus-iiop,20,Open port default risk
1598,picknfs,20,Open port default risk
1599,simbaservices,20,Open port default risk
1600,issd,20,Open port default risk
1601,aas,20,Open port default risk
1602,inspect,20,Open port default risk
1603,pickodbc,20,Open port default risk
1604,icabrowser,20,Open port default risk
1605,Salutation Manager (Salutation Protocol),20,Open port default risk
1606,Salutation Manager (SLM-API),20,Open port default risk
1607,stt,20,Open port default risk
1608,Smart Corp. License Manager,20,Open port default risk
1609,isysg-lm,20,Open port default risk
1610,taurus-wh,20,Open port default risk
1611,Inter Library Loan,20,Open port default risk
1612,NetBill Transaction Server,20,Open port default risk
1613,NetBill Key Repository,20,Open port default risk
1614,NetBill Credential Server,20,Open port default risk
1615,NetBill Authorization Server,20,Open port default risk
1616,NetBill Product Server,20,Open port default risk
1617,Nimrod Inter-Agent Communication,20,Open port default risk
1618,skytelnet,20,Open port default risk
1619,xs-openstorage,20,Open port default risk
1620,faxportwinport,20,Open port default risk
1621,softdataphone,20,Open port default risk
1622,ontime,20,Open port default risk
1623,jaleosnd,20,Open port default risk
1624,udp-sr-port,20,Open port default risk
1625,svs-omagent,20,Open port default risk
1626,Shockwave,20,Open port default risk
1627,T.128 Gateway,20,Open port default risk
1628,LonTalk normal,20,Open port default risk
1629,LonTalk urgent,20,Open port default risk
1630,Oracle database Net8 Cman,90,High risk database
1631,Visit view,20,Open port default risk
1632,PAMMRATC,20,Open port default risk
1633,PAMMRPC,20,Open port default risk
1634,Log On America Probe,20,Open port default risk
1635,EDB Server 1,20,Open port default risk
1636,ISP shared public data control,20,Open port default risk
1637,ISP shared local data control,20,Open port default risk
1638,ISP shared management control,20,Open port default risk
1639,cert-initiator,20,Open port default risk
1640,cert-responder,20,Open port default risk
1641,InVision,20,Open port default risk
1642,isis-am,20,Open port default risk
1643,isis-ambc,20,Open port default risk
1644,Satellite-data Acquisition System 4,20,Open port default risk
1645,SightLine,20,Open port default risk
1646,sa-msg-port,20,Open port default risk
1647,rsap,20,Open port default risk
1648,concurrent-lm,20,Open port default risk
1649,kermit,20,Open port default risk
1650,nkdn,20,Open port default risk
1651,shiva_confsrvr,20,Open port default risk
1652,xnmp,20,Open port default risk
1653,alphatech-lm,20,Open port default risk
1654,stargatealerts,20,Open port default risk
1655,dec-mbadmin,20,Open port default risk
1656,dec-mbadmin-h,20,Open port default risk
1657,fujitsu-mmpdc,20,Open port default risk
1658,sixnetudr,20,Open port default risk
1659,Silicon Grail License Manager,20,Open port default risk
1660,skip-mc-gikreq,20,Open port default risk
1661,netview-aix-1,20,Open port default risk
1662,netview-aix-2,20,Open port default risk
1663,netview-aix-3,20,Open port default risk
1664,netview-aix-4,20,Open port default risk
1665,netview-aix-5,20,Open port default risk
1666,netview-aix-6,20,Open port default risk
1667,netview-aix-7,20,Open port default risk
1668,netview-aix-8,20,Open port default risk
1669,netview-aix-9,20,Open port default risk
1670,netview-aix-10,20,Open port default risk
1671,netview-aix-11,20,Open port default risk
1672,netview-aix-12,20,Open port default risk
1673,Intel Proshare Multicast,20,Open port default risk
1674,Intel Proshare Multicast,20,Open port default risk
1675,Pacific Data Products,20,Open port default risk
1676,netcomm1,20,Open port default risk
1677,groupwise,20,Open port default risk
1678,prolink,20,Open port default risk
1679,darcorp-lm,20,Open port default risk
1680,microcom-sbp,20,Open port default risk
1681,sd-elmd,20,Open port default risk
1682,lanyon-lantern,20,Open port default risk
1683,ncpm-hip,20,Open port default risk
1684,SnareSecure,20,Open port default risk
1685,n2nremote,20,Open port default risk
1686,cvmon,20,Open port default risk
1687,nsjtp-ctrl,20,Open port default risk
1688,nsjtp-data,20,Open port default risk
1689,firefox,20,Open port default risk
1690,ng-umds,20,Open port default risk
1691,empire-empuma,20,Open port default risk
1692,sstsys-lm,20,Open port default risk
1693,rrirtr,20,Open port default risk
1694,rrimwm,20,Open port default risk
1695,rrilwm,20,Open port default risk
1696,rrifmm,20,Open port default risk
1697,rrisat,20,Open port default risk
1698,RSVP-ENCAPSULATION-1,20,Open port default risk
1699,RSVP-ENCAPSULATION-2,20,Open port default risk
1700,mps-raft,20,Open port default risk
1701,l2f,20,Open port default risk
1702,deskshare,20,Open port default risk
1703,hb-engine,20,Open port default risk
1704,bcs-broker,20,Open port default risk
1705,slingshot,20,Open port default risk
1706,jetform,20,Open port default risk
1707,vdmplay,20,Open port default risk
1708,gat-lmd,20,Open port default risk
1709,centra,20,Open port default risk
1710,impera,20,Open port default risk
1711,pptconference,20,Open port default risk
1712,resource monitoring service,20,Open port default risk
1713,ConferenceTalk,20,Open port default risk
1714,sesi-lm,20,Open port default risk
1715,houdini-lm,20,Open port default risk
1716,xmsg,20,Open port default risk
1717,fj-hdnet,20,Open port default risk
1718,H.323 Multicast Gatekeeper Discover,20,Open port default risk
1719,H.323 Unicast Gatekeeper Signaling,20,Open port default risk
1720,H.323 Call Control,20,Open port default risk
1721,caicci,20,Open port default risk
1722,HKS License Manager,20,Open port default risk
1723,pptp,20,Open port default risk
1724,csbphonemaster,20,Open port default risk
1725,iden-ralp,20,Open port default risk
1726,IBERIAGAMES,20,Open port default risk
1727,winddx,20,Open port default risk
1728,TELINDUS,20,Open port default risk
1729,CityNL License Management,20,Open port default risk
1730,roketz,20,Open port default risk
1731,MSICCP,20,Open port default risk
1732,proxim,20,Open port default risk
1733,SIMS - SIIPAT Protocol for Alarm Transmission,20,Open port default risk
1734,Camber Corporation License Management,20,Open port default risk
1735,PrivateChat,20,Open port default risk
1736,street-stream,20,Open port default risk
1737,ultimad,20,Open port default risk
1738,GameGen1,20,Open port default risk
1739,webaccess,20,Open port default risk
1740,encore,20,Open port default risk
1741,cisco-net-mgmt,20,Open port default risk
1742,3Com-nsd,20,Open port default risk
1743,Cinema Graphics License Manager,20,Open port default risk
1744,ncpm-ft,20,Open port default risk
1745,remote-winsock,20,Open port default risk
1746,ftrapid-1,20,Open port default risk
1747,ftrapid-2,20,Open port default risk
1748,oracle-em1,20,Open port default risk
1749,aspen-services,20,Open port default risk
1750,Simple Socket Library's PortMaster,20,Open port default risk
1751,SwiftNet,20,Open port default risk
1752,Leap of Faith Research License Manager,20,Open port default risk
1753,Predatar Comms Service,20,Open port default risk
1754,oracle-em2,20,Open port default risk
1755,ms-streaming,20,Open port default risk
1756,capfast-lmd,20,Open port default risk
1757,cnhrp,20,Open port default risk
1758,tftp-mcast,20,Open port default risk
1759,SPSS License Manager,20,Open port default risk
1760,www-ldap-gw,20,Open port default risk
1761,cft-0,20,Open port default risk
1762,cft-1,20,Open port default risk
1763,cft-2,20,Open port default risk
1764,cft-3,20,Open port default risk
1765,cft-4,20,Open port default risk
1766,cft-5,20,Open port default risk
1767,cft-6,20,Open port default risk
1768,cft-7,20,Open port default risk
1769,bmc-net-adm,20,Open port default risk
1770,bmc-net-svc,20,Open port default risk
1771,vaultbase,20,Open port default risk
1772,EssWeb Gateway,20,Open port default risk
1773,KMSControl,20,Open port default risk
1774,global-dtserv,20,Open port default risk
1775,data interchange between visual processing containers,20,Open port default risk
1776,Federal Emergency Management Information System,20,Open port default risk
1777,powerguardian,20,Open port default risk
1778,prodigy-internet,20,Open port default risk
1779,pharmasoft,20,Open port default risk
1780,dpkeyserv,20,Open port default risk
1781,answersoft-lm,20,Open port default risk
1782,hp-hcip,20,Open port default risk
1783,"Decomissioned Port 04/14/00, ms",20,Open port default risk
1784,Finle License Manager,20,Open port default risk
1785,Wind River Systems License Manager,20,Open port default risk
1786,funk-logger,20,Open port default risk
1787,funk-license,20,Open port default risk
1788,psmond,20,Open port default risk
1789,hello,20,Open port default risk
1790,Narrative Media Streaming Protocol,20,Open port default risk
1791,EA1,20,Open port default risk
1792,ibm-dt-2,20,Open port default risk
1793,rsc-robot,20,Open port default risk
1794,cera-bcm,20,Open port default risk
1795,dpi-proxy,20,Open port default risk
1796,Vocaltec Server Administration,20,Open port default risk
1797,UMA,20,Open port default risk
1798,Event Transfer Protocol,20,Open port default risk
1799,NETRISK,20,Open port default risk
1800,ANSYS-License manager,20,Open port default risk
1801,Microsoft Message Que,20,Open port default risk
1802,ConComp1,20,Open port default risk
1803,HP-HCIP-GWY,20,Open port default risk
1804,ENL,20,Open port default risk
1805,ENL-Name,20,Open port default risk
1806,Musiconline,20,Open port default risk
1807,Fujitsu Hot Standby Protocol,20,Open port default risk
1808,Oracle-VP2,20,Open port default risk
1809,Oracle-VP1,20,Open port default risk
1810,Jerand License Manager,20,Open port default risk
1811,Scientia-SDB,20,Open port default risk
1812,RADIUS,20,Open port default risk
1813,RADIUS Accounting,20,Open port default risk
1814,TDP Suite,20,Open port default risk
1815,MMPFT,20,Open port default risk
1816,HARP,20,Open port default risk
1817,RKB-OSCS,20,Open port default risk
1818,Enhanced Trivial File Transfer Protocol,20,Open port default risk
1819,Plato License Manager,20,Open port default risk
1820,mcagent,20,Open port default risk
1821,donnyworld,20,Open port default risk
1822,es-elmd,20,Open port default risk
1823,Unisys Natural Language License Manager,20,Open port default risk
1824,metrics-pas,20,Open port default risk
1825,DirecPC Video,20,Open port default risk
1826,ARDT,20,Open port default risk
1827,ASI,20,Open port default risk
1828,itm-mcell-u,20,Open port default risk
1829,Optika eMedia,20,Open port default risk
1830,Oracle DB Net8 CMan Admin,90,High risk database
1831,Myrtle,20,Open port default risk
1832,ThoughtTreasure,20,Open port default risk
1833,udpradio,20,Open port default risk
1834,ARDUS Unicast,20,Open port default risk
1835,ARDUS Multicast,20,Open port default risk
1836,ste-smsc,20,Open port default risk
1837,csoft1,20,Open port default risk
1838,TALNET,20,Open port default risk
1839,netopia-vo1,20,Open port default risk
1840,netopia-vo2,20,Open port default risk
1841,netopia-vo3,20,Open port default risk
1842,netopia-vo4,20,Open port default risk
1843,netopia-vo5,20,Open port default risk
1844,DirecPC-DLL,20,Open port default risk
1845,altalink,20,Open port default risk
1846,Tunstall PNC,20,Open port default risk
1847,SLP Notification,20,Open port default risk
1848,fjdocdist,20,Open port default risk
1849,ALPHA-SMS,20,Open port default risk
1850,GSI,20,Open port default risk
1851,ctcd,20,Open port default risk
1852,Virtual Time,20,Open port default risk
1853,VIDS-AVTP,20,Open port default risk
1854,Buddy Draw,20,Open port default risk
1855,Fiorano RtrSvc,20,Open port default risk
1856,Fiorano MsgSvc,20,Open port default risk
1857,DataCaptor,20,Open port default risk
1858,PrivateArk,20,Open port default risk
1859,Gamma Fetcher Server,20,Open port default risk
1860,SunSCALAR Services,20,Open port default risk
1861,LeCroy VICP,20,Open port default risk
1862,MySQL Cluster Manager Agent,20,Open port default risk
1863,MSNP,20,Open port default risk
1864,Paradym 31 Port,20,Open port default risk
1865,ENTP,20,Open port default risk
1866,swrmi,20,Open port default risk
1867,UDRIVE,20,Open port default risk
1868,VizibleBrowser,20,Open port default risk
1869,TransAct,20,Open port default risk
1870,SunSCALAR DNS Service,20,Open port default risk
1871,Cano Central 0,20,Open port default risk
1872,Cano Central 1,20,Open port default risk
1873,Fjmpjps,20,Open port default risk
1874,Fjswapsnp,20,Open port default risk
1875,westell stats,20,Open port default risk
1876,ewcappsrv,20,Open port default risk
1877,hp-webqosdb,20,Open port default risk
1878,drmsmc,20,Open port default risk
1879,NettGain NMS,20,Open port default risk
1880,Gilat VSAT Control,20,Open port default risk
1881,IBM WebSphere MQ Everyplace,20,Open port default risk
1882,CA eTrust Common Services,20,Open port default risk
1883,Message Queuing Telemetry Transport Protocol,20,Open port default risk
1884,Internet Distance Map Svc,20,Open port default risk
1885,Veritas Trap Server,20,Open port default risk
1886,Leonardo over IP,20,Open port default risk
1887,FileX Listening Port,20,Open port default risk
1888,NC Config Port,20,Open port default risk
1889,Unify Web Adapter Service,20,Open port default risk
1890,wilkenListener,20,Open port default risk
1891,ChildKey Notification,20,Open port default risk
1892,ChildKey Control,20,Open port default risk
1893,ELAD Protocol,20,Open port default risk
1894,O2Server Port,20,Open port default risk
1896,b-novative license server,20,Open port default risk
1897,MetaAgent,20,Open port default risk
1898,Cymtec secure management,20,Open port default risk
1899,MC2Studios,20,Open port default risk
1900,SSDP,20,Open port default risk
1901,Fujitsu ICL Terminal Emulator Program A,20,Open port default risk
1902,Fujitsu ICL Terminal Emulator Program B,20,Open port default risk
1903,Local Link Name Resolution,20,Open port default risk
1904,Fujitsu ICL Terminal Emulator Program C,20,Open port default risk
1905,Secure UP.Link Gateway Protocol,20,Open port default risk
1906,TPortMapperReq,20,Open port default risk
1907,IntraSTAR,20,Open port default risk
1908,Dawn,20,Open port default risk
1909,Global World Link,20,Open port default risk
1910,UltraBac Software communications port,20,Open port default risk
1911,Starlight Networks Multimedia Transport Protocol,20,Open port default risk
1912,rhp-iibp,20,Open port default risk
1913,armadp,20,Open port default risk
1914,Elm-Momentum,20,Open port default risk
1915,FACELINK,20,Open port default risk
1916,Persoft Persona,20,Open port default risk
1917,nOAgent,20,Open port default risk
1918,IBM Tivole Directory Service - NDS,20,Open port default risk
1919,IBM Tivoli Directory Service - DCH,20,Open port default risk
1920,IBM Tivoli Directory Service - FERRET,20,Open port default risk
1921,NoAdmin,20,Open port default risk
1922,Tapestry,20,Open port default risk
1923,SPICE,20,Open port default risk
1924,XIIP,20,Open port default risk
1925,Surrogate Discovery Port,20,Open port default risk
1926,Evolution Game Server,20,Open port default risk
1927,Videte CIPC Port,20,Open port default risk
1928,Expnd Maui Srvr Dscovr,20,Open port default risk
1929,Bandwiz System - Server,20,Open port default risk
1930,Drive AppServer,20,Open port default risk
1931,AMD SCHED,20,Open port default risk
1932,CTT Broker,20,Open port default risk
1933,IBM LM MT Agent,20,Open port default risk
1934,IBM LM Appl Agent,20,Open port default risk
1935,Macromedia Flash Communications Server MX,20,Open port default risk
1936,JetCmeServer Server Port,20,Open port default risk
1937,JetVWay Server Port,20,Open port default risk
1938,JetVWay Client Port,20,Open port default risk
1939,JetVision Server Port,20,Open port default risk
1940,JetVision Client Port,20,Open port default risk
1941,DIC-Aida,20,Open port default risk
1942,Real Enterprise Service,20,Open port default risk
1943,Beeyond Media,20,Open port default risk
1944,close-combat,20,Open port default risk
1945,dialogic-elmd,20,Open port default risk
1946,tekpls,20,Open port default risk
1947,SentinelSRM,20,Open port default risk
1948,eye2eye,20,Open port default risk
1949,ISMA Easdaq Live,20,Open port default risk
1950,ISMA Easdaq Test,20,Open port default risk
1951,bcs-lmserver,20,Open port default risk
1952,mpnjsc,20,Open port default risk
1953,Rapid Base,20,Open port default risk
1954,ABR-API (diskbridge),20,Open port default risk
1955,ABR-Secure Data (diskbridge),20,Open port default risk
1956,Vertel VMF DS,20,Open port default risk
1957,unix-status,20,Open port default risk
1958,CA Administration Daemon,20,Open port default risk
1959,SIMP Channel,20,Open port default risk
1960,Merit DAC NASmanager,20,Open port default risk
1961,BTS APPSERVER,20,Open port default risk
1962,BIAP-MP,20,Open port default risk
1963,WebMachine,20,Open port default risk
1964,SOLID E ENGINE,20,Open port default risk
1965,Tivoli NPM,20,Open port default risk
1966,Slush,20,Open port default risk
1967,SNS Quote,20,Open port default risk
1968,LIPSinc,20,Open port default risk
1969,LIPSinc 1,20,Open port default risk
1970,NetOp Remote Control,20,Open port default risk
1971,NetOp School,20,Open port default risk
1972,Cache,20,Open port default risk
1973,Data Link Switching Remote Access Protocol,20,Open port default risk
1974,DRP,20,Open port default risk
1975,TCO Flash Agent,20,Open port default risk
1976,TCO Reg Agent,20,Open port default risk
1977,TCO Address Book,20,Open port default risk
1978,UniSQL,20,Open port default risk
1979,UniSQL Java,20,Open port default risk
1980,PearlDoc XACT,20,Open port default risk
1981,p2pQ,20,Open port default risk
1982,Evidentiary Timestamp,20,Open port default risk
1983,Loophole Test Protocol,20,Open port default risk
1984,BB,20,Open port default risk
1985,Hot Standby Router Protocol,20,Open port default risk
1986,cisco license management,20,Open port default risk
1987,cisco RSRB Priority 1 port,20,Open port default risk
1988,cisco RSRB Priority 2 port,20,Open port default risk
1989,cisco RSRB Priority 3 port,20,Open port default risk
1990,cisco STUN Priority 1 port,20,Open port default risk
1991,cisco STUN Priority 2 port,20,Open port default risk
1992,cisco STUN Priority 3 port,20,Open port default risk
1993,cisco SNMP TCP port,20,Open port default risk
1994,cisco serial tunnel port,20,Open port default risk
1995,cisco perf port,20,Open port default risk
1996,cisco Remote SRB port,20,Open port default risk
1997,cisco Gateway Discovery Protocol,20,Open port default risk
1998,cisco X.25 service (XOT),20,Open port default risk
1999,cisco identification port,20,Open port default risk
2000,Cisco SCCP,20,Open port default risk
2001,curry,20,Open port default risk
2003,Brutus Server,20,Open port default risk
2004,CCWS mm conf,20,Open port default risk
2006,raid,20,Open port default risk
2010,"IANA assigned this well-formed service name as a replacement for ""pipe_server"".",20,Open port default risk
2011,raid,20,Open port default risk
2029,Hot Standby Router Protocol IPv6,20,Open port default risk
2031,mobrien-chat,20,Open port default risk
2036,Ethernet WS DP network,20,Open port default risk
2037,APplus Application Server,20,Open port default risk
2039,Prizma Monitoring Service,20,Open port default risk
2042,isis,20,Open port default risk
2043,isis-bcast,20,Open port default risk
2049,Network File System - Sun Microsystems,20,Open port default risk
2050,Avaya EMB Config Port,20,Open port default risk
2051,EPNSDP,20,Open port default risk
2052,clearVisn Services Port,20,Open port default risk
2053,Lot105 DSuper Updates,20,Open port default risk
2054,Weblogin Port,20,Open port default risk
2055,Iliad-Odyssey Protocol,20,Open port default risk
2056,OmniSky Port,20,Open port default risk
2057,Rich Content Protocol,20,Open port default risk
2058,NewWaveSearchables RMI,20,Open port default risk
2059,BMC Messaging Service,20,Open port default risk
2060,Telenium Daemon IF,20,Open port default risk
2061,NetMount,20,Open port default risk
2062,ICG SWP Port,20,Open port default risk
2063,ICG Bridge Port,20,Open port default risk
2064,ICG IP Relay Port,20,Open port default risk
2065,Data Link Switch Read Port Number,20,Open port default risk
2066,AVM USB Remote Architecture,20,Open port default risk
2067,Data Link Switch Write Port Number,20,Open port default risk
2068,Avocent AuthSrv Protocol,20,Open port default risk
2069,HTTP Event Port,20,Open port default risk
2070,AH and ESP Encapsulated in UDP packet,20,Open port default risk
2071,Axon Control Protocol,20,Open port default risk
2072,GlobeCast mSync,20,Open port default risk
2073,DataReel Database Socket,20,Open port default risk
2074,Vertel VMF SA,20,Open port default risk
2075,Newlix ServerWare Engine,20,Open port default risk
2076,Newlix JSPConfig,20,Open port default risk
2077,Old Tivoli Storage Manager,20,Open port default risk
2078,IBM Total Productivity Center Server,20,Open port default risk
2079,IDWARE Router Port,20,Open port default risk
2080,Autodesk NLM (FLEXlm),20,Open port default risk
2081,KME PRINTER TRAP PORT,20,Open port default risk
2082,Infowave Mobility Server,20,Open port default risk
2083,Secure Radius Service,20,Open port default risk
2084,SunCluster Geographic,20,Open port default risk
2085,ADA Control,20,Open port default risk
2086,GNUnet,20,Open port default risk
2087,ELI - Event Logging Integration,20,Open port default risk
2088,IP Busy Lamp Field,20,Open port default risk
2089,Security Encapsulation Protocol - SEP,20,Open port default risk
2090,Load Report Protocol,20,Open port default risk
2091,PRP,20,Open port default risk
2092,Descent 3,20,Open port default risk
2093,NBX CC,20,Open port default risk
2094,NBX AU,20,Open port default risk
2095,NBX SER,20,Open port default risk
2096,NBX DIR,20,Open port default risk
2097,Jet Form Preview,20,Open port default risk
2098,Dialog Port,20,Open port default risk
2099,H.225.0 Annex G Signalling,20,Open port default risk
2100,Amiga Network Filesystem,20,Open port default risk
2101,rtcm-sc104,20,Open port default risk
2102,Zephyr server,20,Open port default risk
2103,Zephyr serv-hm connection,20,Open port default risk
2104,Zephyr hostmanager,20,Open port default risk
2105,MiniPay,20,Open port default risk
2106,MZAP,20,Open port default risk
2107,BinTec Admin,20,Open port default risk
